Name,Gender,# of fingers,Age,HoursOfsleep,IQ,WorkoutHeartrate
Rashida Elmer  ,F,9,23.42869808,9.042857149,73.24570662,144.2664488
Lashaunda Battin  ,F,11,21.9354139,10.56911503,80.48611117,148.7231159
Maybell Balas  ,F,10,19.72790846,12.71939827,97.86827888,149.1605895
Denice Uhl  ,F,10,40.22732445,14.42153297,121.5862105,125.6663051
Felicitas Hallberg  ,F,10,29.57413132,12.30694975,93.65869295,131.2680659
Doloris Hemmings  ,F,10,19.74217818,9.353098273,74.47341896,156.7219857
Caryn Praylow  ,F,10,31.6916919,8.661461965,71.87818374,137.969964
Lachelle Silvestri  ,F,10,26.97079452,10.37605214,79.38668182,137.9510329
Sherley Greenblatt  ,F,10,22.93657311,12.21397667,92.77636313,144.2405701
Vannessa Gramlich  ,F,10,23.69015698,10.62278103,80.80264814,152.9373074
Juana Rapozo  ,F,10,24.83557645,7.197570655,67.81815629,146.2883259
Elenora Hepburn  ,F,10,18.22578988,8.846174576,72.52189172,161.0025419
Lady Beckett  ,F,10,20.25118438,13.97232516,114.1681395,148.1043882
Gertrudis Cazarez  ,F,10,25.76196633,7.511265711,68.55123671,147.6001533
Sally Eichenlaub  ,F,10,30.09412517,5.747661382,65.16646636,130.0351812
Shavon Pantaleo  ,F,10,22.93034577,8.828219431,72.45781839,140.9281328
Stella Mauzy  ,F,10,28.0619142,12.35168014,94.09161529,138.2862354
Deb Hayes  ,F,10,22.41624161,5.916346719,65.4215664,149.4638983
Claris Renfroe  ,F,10,20.04137426,9.729367353,76.1161076,155.2466818
Teodora Latham  ,F,10,19.44037528,9.650132701,75.75536231,150.8649719
Otto Klingler  ,M,10,21.77151713,11.27104922,85.03562419,152.6542689
Britt Bradway  ,M,10,32.09129106,10.97492536,83.00457156,131.3618102
Luis Maxwell  ,M,10,19.93806691,15.51416248,144.1514248,147.5934217
Leslie Sprinkle  ,M,10,27.3875503,10.36986035,79.35241548,142.5982963
Marty Cavalier  ,M,10,20.86460829,12.56293114,96.21266414,144.1254392
Mario Cusick  ,M,10,21.72047068,9.241148472,74.01780258,145.0984636
Shad Wilber  ,M,10,22.20607635,10.98052855,83.04142931,140.2975975
Gerard Kerner  ,M,10,27.29515973,15.21089634,137.1668826,145.845311
Wayne Heldt  ,M,10,18.44925135,2.042586817,61.792473,152.2228326
Earnest Semple  ,M,10,20.05708454,7.556479144,68.66241924,148.6879504
Trent Gibney  ,M,10,22.62591311,11.6866107,88.19181337,141.6273767
Renaldo Dunmire  ,M,10,20.11437728,16.56293969,173.552863,158.4914384
Rufus Jaco  ,M,10,20.22871416,13.26205483,104.2191752,153.6833345
Gayle Mcewen  ,M,10,20.65671495,6.080244118,65.68148479,152.1768071
Freddy Faught  ,M,10,20.54701868,7.972023283,69.75442412,151.0457564
Donald Milling  ,M,10,26.34930409,11.2385005,84.80388124,138.5678175
Bradford Stefani  ,M,10,27.50705753,7.901202127,69.55903062,141.5811935
Xavier Jovel  ,M,10,21.62221946,16.28717791,164.9495127,148.6264937
James Meshell  ,M,10,36.99134428,6.167766834,65.82535007,113.5279775
Gaston Mcdavis  ,M,10,19.2312297,10.34809896,79.23246434,149.7250192
